,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
/driver/blink/data,0.7992,0.924,0.468,0.54,0.6015,0.824,0.6842,0.86,0.8542,0.7912,0.8306,0.88,0.8068,0.8723,0.7654,-191.0203
/driver/eye_open/data,0.6225,0.688,0.78,0.276,0.3233,0.58,0.5789,0.704,0.8125,0.4297,0.6331,0.7886,0.625,0.7713,0.6067,-191.179
/driver/eye_opening_rate/data,0.6104,0.68,0.768,0.244,0.3233,0.524,0.5614,0.692,0.8333,0.5502,0.6331,0.7657,0.6364,0.7606,0.6037,-191.182
/driver/face_pitch/data,0.743,0.896,0.86,0.504,0.6165,0.76,0.7018,0.848,0.8333,0.7068,0.7742,0.8514,0.8182,0.8191,0.7661,-191.0196
/driver/face_roll/data,0.7631,0.888,0.86,0.508,0.6015,0.784,0.7018,0.812,0.8125,0.755,0.7863,0.8629,0.7727,0.8245,0.7706,-191.0151
/driver/face_yaw/data,0.751,0.904,0.864,0.456,0.594,0.716,0.7018,0.796,0.8333,0.7349,0.7782,0.84,0.8068,0.7819,0.7527,-191.033
/driver/gaze_horizontal/data,0.6707,0.72,0.792,0.348,0.4436,0.612,0.5789,0.72,0.8333,0.6024,0.7298,0.7771,0.6477,0.7926,0.6592,-191.1265
/driver/gaze_vertical/data,0.6787,0.716,0.8,0.4,0.4361,0.628,0.5789,0.716,0.8333,0.6064,0.7339,0.7886,0.6364,0.7926,0.667,-191.1187
/gps_m2/distance/from_last_intersection/field_of_view,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/distance/from_last_intersection/max_range,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/distance/from_last_intersection/min_range,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/distance/from_last_intersection/radiation_type,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/distance/from_last_intersection/range,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/distance/to_next_intersection/field_of_view,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/distance/to_next_intersection/max_range,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/distance/to_next_intersection/min_range,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/distance/to_next_intersection/radiation_type,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/distance/to_next_intersection/range,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/link_id/data,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/road/curvature/data,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/road/intersection/data,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/road/lanes/data,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/road/traffic_light/data,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/road/type/data,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/road/width/data,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/vehicle/acceleration/accel/linear/y,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/vehicle/acceleration/accel/linear/x,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/vehicle/acceleration/accel/linear/z,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/vehicle/acceleration/accel/angular/y,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/vehicle/acceleration/accel/angular/x,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
