,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
/driver/blink/data,0.0,0.0,8.216,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.7654,-191.0203
/driver/eye_open/data,0.0964,0.104,3.88,0.004,0.0376,0.168,0.1053,0.096,0.1875,1.6988,0.1169,0.0971,0.1818,0.1968,0.6067,-191.179
/driver/eye_opening_rate/data,0.2129,0.192,3.916,0.548,0.2481,0.42,0.1053,0.12,0.2292,0.2972,0.2419,0.2171,0.1023,0.2021,0.6037,-191.182
/driver/face_pitch/data,0.5703,0.38,4.356,0.244,0.2406,0.364,0.2807,0.284,0.2292,0.4378,0.6613,0.3657,0.5114,0.3564,0.7661,-191.0196
/driver/face_roll/data,0.4779,0.456,4.408,0.276,0.2556,0.412,0.3509,0.408,0.3542,0.3936,0.5605,0.3371,0.3295,0.3404,0.7706,-191.0151
/driver/face_yaw/data,0.4819,0.38,4.36,0.252,0.2932,0.34,0.3684,0.404,0.5625,0.3735,0.5161,0.3086,0.5,0.3245,0.7527,-191.033
/driver/gaze_horizontal/data,0.245,0.224,4.756,0.304,0.3233,0.288,0.2807,0.136,0.1667,0.1928,0.2016,0.3429,0.0795,0.266,0.6592,-191.1265
/driver/gaze_vertical/data,0.0964,0.3,4.728,0.504,0.188,0.26,0.2807,0.176,0.2917,0.2691,0.2137,0.2229,0.1136,0.2713,0.667,-191.1187
/gps_m2/distance/from_last_intersection/field_of_view,0.0,0.0,9.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095,-190.87619999999998
/gps_m2/distance/from_last_intersection/max_range,0.0,0.0,9.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095,-190.87619999999998
/gps_m2/distance/from_last_intersection/min_range,0.0,0.0,9.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095,-190.87619999999998
/gps_m2/distance/from_last_intersection/radiation_type,0.0,0.0,9.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095,-190.87619999999998
/gps_m2/distance/from_last_intersection/range,0.0,0.0,9.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095,-190.87619999999998
/gps_m2/distance/to_next_intersection/field_of_view,0.0,0.0,9.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095,-190.87619999999998
/gps_m2/distance/to_next_intersection/max_range,0.0,0.0,9.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095,-190.87619999999998
/gps_m2/distance/to_next_intersection/min_range,0.0,0.0,9.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095,-190.87619999999998
/gps_m2/distance/to_next_intersection/radiation_type,0.0,0.0,9.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095,-190.87619999999998
/gps_m2/distance/to_next_intersection/range,0.0,0.0,9.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095,-190.87619999999998
/gps_m2/link_id/data,0.0,0.0,9.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095,-190.87619999999998
/gps_m2/road/curvature/data,0.0,0.0,9.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095,-190.87619999999998
/gps_m2/road/intersection/data,0.0,0.0,9.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095,-190.87619999999998
/gps_m2/road/lanes/data,0.0,0.0,9.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095,-190.87619999999998
/gps_m2/road/traffic_light/data,0.0,0.0,9.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095,-190.87619999999998
/gps_m2/road/type/data,0.0,0.0,9.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095,-190.87619999999998
/gps_m2/road/width/data,0.0,0.0,9.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095,-190.87619999999998
/gps_m2/vehicle/acceleration/accel/linear/y,0.0,0.0,9.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095,-190.87619999999998
/gps_m2/vehicle/acceleration/accel/linear/x,0.0,0.0,9.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095,-190.87619999999998
