,/driver/blink/data,/driver/face_pitch/data,/driver/face_roll/data,/driver/face_yaw/data,/mobileye/01/data,/mobileye/02/data,/mobileye/03/data,/mobileye/04/data,/mobileye/06/data,/mobileye/07/data,/mobileye/08/data,/mobileye/09/data,/mobileye/10/data,/mobileye/11/data,/mobileye/12/data,/mobileye/13/data,/mobileye/14/data,/mobileye/15/data,/mobileye/16/data,/mobileye/17/data,/mobileye/18/data,/mobileye/19/data,/mobileye/20/data,/mobileye/21/data,/mobileye/22/data,/mobileye/23/data,/mobileye/24/data,/mobileye/25/data,/mobileye/26/data,/mobileye/27/data,/mobileye/28/data,/mobileye/29/data,/mobileye/30/data,/mobileye/31/data,/mobileye/32/data,/mobileye/33/data,/mobileye/34/data,/mobileye/35/data,/vehicle/acceleration/accel/linear/y,/vehicle/acceleration/accel/linear/x,/vehicle/acceleration/accel/linear/z,/vehicle/acceleration/accel/angular/y,/vehicle/acceleration/accel/angular/x,/vehicle/acceleration/accel/angular/z,/vehicle/analog/back_signal/data,/vehicle/analog/brake_signal/data,/vehicle/analog/speed_pulse/data,/vehicle/analog/turn_signal/data,/vehicle/extracted_can/brake_pedal_hydraulic/data,/vehicle/extracted_can/gas_pedal_position/data,/vehicle/extracted_can/headlight_state/data,/vehicle/extracted_can/seat_belt_state/data,/vehicle/extracted_can/speed/data,/vehicle/extracted_can/steering_angle/data,/vehicle/gnss/altitude,/vehicle/gnss/latitude,/vehicle/gnss/longitude,/vehicle/gnss/position_covariance,/vehicle/gnss/position_covariance_type,/vehicle/gnss/status
2017-01-22 08:39:58.019999980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5640000104904175,0.0,,,,-48.0,,,,,,
2017-01-22 08:39:58.029999971,1.0,-4.400000095367432,2.200000047683716,-11.100000381469727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-22 08:39:58.039999961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.527999997138977,0.0,,False,,-49.5,,,,,,
2017-01-22 08:39:58.049999952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,14.0,0.0,,,,,,,,,,,,
2017-01-22 08:39:58.059999942,,,,,2.0,2.0,-1.7400000095367432,0.9399999976158142,0.010601043701171875,0.0,-0.12484607845544815,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.1875,-2048.0,250.0,0.0,8.0,37.1875,3.6875,0.0,0.0,10.125,0.0,3.0,0.0,-1.0,1.399999976158142,254.0,2.0,-2048.0,0.11999999731779099,-5.739999771118164,,,,,,,,,,,,0.0,,,,-51.0,,,,,,
2017-01-22 08:39:58.069999933,1.0,-5.099999904632568,0.6000000238418579,-13.100000381469727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-22 08:39:58.079999923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.492000013589859,0.0,,,,-54.0,,,,,,
2017-01-22 08:39:58.099999904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.148,-0.02,1.023,0.0,0.0,0.0,False,True,12.0,0.0,0.4440000057220459,,,,,-55.5,,,,,,
2017-01-22 08:39:58.119999885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3959999978542328,0.0,2.0,,,-57.0,,,,,,
2017-01-22 08:39:58.140000104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36000001430511475,0.0,,,,-58.5,,,,,,
2017-01-22 08:39:58.150000095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,11.0,0.0,,,,,,,,,,,,
2017-01-22 08:39:58.160000085,,,,,2.0,2.0,-1.7599999904632568,0.9399999976158142,0.009828567504882812,0.0,-0.12484607845544815,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.5,-2048.0,250.0,0.0,8.0,37.5,3.75,0.0,0.0,9.9375,0.0,3.0,0.0,-1.0,1.399999976158142,254.0,2.0,-2048.0,15.270000457763672,-5.760000228881836,,,,,,,,,,,0.3240000009536743,0.0,,,,-61.5,,,,,,
2017-01-22 08:39:58.180000066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,-64.5,,,,,,
2017-01-22 08:39:58.200000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.129,0.027,1.0,0.0,0.0,0.0,False,True,12.0,0.0,0.30000001192092896,0.0,,,,-64.5,,,,,,
2017-01-22 08:39:58.220000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2879999876022339,0.0,,,,-67.5,,,,,,
2017-01-22 08:39:58.240000009,,,,,2.0,2.0,-1.7599999904632568,0.9599999785423279,0.00855255126953125,0.0,-0.12484607845544815,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.25,-2048.0,250.0,0.0,8.0,38.25,3.875,0.0,0.0,10.0625,0.0,3.0,0.0,-1.0,1.399999976158142,254.0,2.0,-2048.0,15.149999618530273,-5.869999885559082,,,,,,,,,,,0.2879999876022339,,,,,-70.5,,,,,,
